condition,trial,sample,logical_neuron,replica,physical_coordinate,nominal_input_s,first_spike_s,fired,spike_count
ttfs_M1_local-pool_dedicated,0,7,28,0,7,2.4999999999999998e-05,3.0624e-05,1,1
ttfs_M1_local-pool_dedicated,0,7,29,0,135,2.4999999999999998e-05,3.0191999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,0,0,0,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,1,0,128,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,5,0,129,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,6,0,257,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,8,0,2,2.4999999999999998e-05,3.4943999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,9,0,130,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,11,0,386,1.9999999999999998e-05,2.4703999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,12,0,3,2.1e-05,2.5303999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,13,0,131,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,14,0,259,2.4999999999999998e-05,3.4095999999999993e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,15,0,387,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,16,0,4,2.4999999999999998e-05,3.0151999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,17,0,132,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,18,0,260,2.4999999999999998e-05,3.0816e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,19,0,388,2.4999999999999998e-05,3.0912e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,20,0,5,2.4999999999999998e-05,3.1344e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,21,0,133,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,8,22,0,261,1.9999999999999998e-05,2.4255999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,23,0,389,2.4999999999999998e-05,3.136e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,24,0,6,2.4999999999999998e-05,3.1144e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,25,0,134,2.4999999999999998e-05,3.1935999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,26,0,262,2.4999999999999998e-05,3.092799999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,27,0,390,2.4999999999999998e-05,3.0567999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,28,0,7,2.4999999999999998e-05,3.0647999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,8,29,0,135,2.4999999999999998e-05,3.0551999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,9,0,0,0,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,1,0,128,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,5,0,129,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,6,0,257,2.4999999999999998e-05,3.123999999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,9,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,8,0,2,2.4999999999999998e-05,3.1184e-05,1,1
ttfs_M1_local-pool_dedicated,0,9,9,0,130,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,9,11,0,386,2.4999999999999998e-05,3.151199999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,9,12,0,3,2.4999999999999998e-05,3.096799999999999e-05,1,1
