primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,4,134,7.0,7.0,128,1.8457812500000036e-05,2.0095517716536253e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,8.0,8.0,128,1.8186687500000036e-05,1.540911141732345e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,9.0,9.0,128,1.763600000000004e-05,1.0445807874016028e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,10.0,10.0,128,1.7398500000000033e-05,1.5224214173228173e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,11.0,11.0,128,1.719525000000004e-05,1.1062267716535675e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,12.0,12.0,128,1.657300000000004e-05,1.2154456692914098e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,13.0,13.0,128,1.6338187500000035e-05,1.2220040551181257e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,14.0,14.0,128,1.610387500000004e-05,1.422805511811008e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,15.0,15.0,128,1.591137500000004e-05,1.27172141732297e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,16.0,16.0,128,1.5387750000000032e-05,9.695540157480235e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,17.0,17.0,128,1.5159187500000039e-05,9.780594881888976e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,18.0,18.0,128,1.4882625000000036e-05,1.235211181102375e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,19.0,19.0,128,1.4704375000000037e-05,1.1272955905512146e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,20.0,20.0,128,1.4293375000000037e-05,9.285655118110704e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,21.0,21.0,128,1.4279500000000035e-05,8.801234645669906e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,22.0,22.0,128,1.3966812500000038e-05,8.906087795275517e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,23.0,23.0,127,1.3746330708661453e-05,8.345712785901689e-14,0.0078125,0.0,0.0
phi-np,dynamic,calibration,4,134,24.0,24.0,128,1.3405312500000035e-05,7.573798031496242e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,25.0,25.0,128,1.3125062500000035e-05,1.4044106692913507e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,26.0,26.0,128,1.2858250000000036e-05,8.928144881890846e-14,0.0,0.0,0.0
